"ruido","algoritmo","preproc","iteracion","rmse","mae","r2"
0,"SVM","regAENN",14,0.179038682500681,0.129969660052154,0.988262923417884
0,"SVM","regAENN",15,0.207365813425452,0.139250279930026,0.984089146285838
0,"SVM","regAENN",16,0.179600472096412,0.128609917854898,0.987919597610535
0,"SVM","regAENN",17,0.189014737949673,0.130018791276097,0.986982421416159
0,"SVM","regAENN",18,0.193724106325425,0.137709919533543,0.985930608680059
0,"SVM","regAENN",19,0.18504190376908,0.135492284972014,0.987124991948171
0,"SVM","regAENN",20,0.189018519143814,0.133318990088651,0.986514815957817
0,"SVM","regAENN",21,0.177431139918622,0.131791072812471,0.988106940660911
0,"SVM","regAENN",22,0.196121205251976,0.133215219708075,0.985340817755898
0,"SVM","regAENN",23,0.184611788059482,0.130274664365721,0.987497962139842
0,"SVM","regAENN",24,0.196093716227607,0.136833017199119,0.985675614980597
0,"SVM","regAENN",25,0.189327840639844,0.133657325237869,0.98676878811225
0,"1NN","regEF",1,0.802494493563433,0.611959334565619,0.76073752542673
0,"1NN","regEF",2,0.804656044128825,0.599815157116451,0.759045256905903
0,"1NN","regEF",3,0.838996894793827,0.619261311172668,0.740977478128687
0,"1NN","regEF",4,0.839801124063215,0.619667590027701,0.733612368396751
0,"1NN","regEF",5,0.815864097195269,0.615452029520295,0.748531564138815
0,"1NN","regEF",6,0.844092009443449,0.631385041551247,0.730226777499576
0,"1NN","regEF",7,0.778864522588579,0.581977818853974,0.77637282854951
0,"1NN","regEF",8,0.801470575367117,0.60460258780037,0.756553458349693
0,"1NN","regEF",9,0.863332116380152,0.646669741697417,0.719457673152935
0,"1NN","regEF",10,0.839690067256329,0.630803324099723,0.74284372609494
0,"1NN","regEF",11,0.806596360929031,0.602079482439926,0.752660786323385
0,"1NN","regEF",12,0.821452997880239,0.618632162661738,0.748000502736407
0,"1NN","regEF",13,0.845768348735629,0.61746999076639,0.729879447352939
0,"1NN","regEF",14,0.858649888683627,0.636350230414747,0.730040616602602
0,"1NN","regEF",15,0.793327359571994,0.605646950092421,0.767124378082832
0,"1NN","regEF",16,0.787079706856078,0.590387453874539,0.767991507010932
0,"1NN","regEF",17,0.861014132884459,0.636528162511542,0.729878326730524
0,"1NN","regEF",18,0.838807082858151,0.632105263157895,0.736225897013588
0,"1NN","regEF",19,0.821751994284715,0.62003696857671,0.746084702196672
0,"1NN","regEF",20,0.824398789506923,0.611025878003697,0.743479040303554
0,"1NN","regEF",21,0.8095896475451,0.61503696857671,0.752392501582582
0,"1NN","regEF",22,0.820555354971871,0.610314232902033,0.743388328758187
0,"1NN","regEF",23,0.843672007441488,0.622622345337027,0.73889858117188
0,"1NN","regEF",24,0.821097950928177,0.613081180811808,0.748846885385673
0,"1NN","regEF",25,0.818256597681389,0.615623268698061,0.752856215537593
0,"CART","regEF",1,0.577215131163125,0.447492484892487,0.876215609584202
0,"CART","regEF",2,0.583429868030703,0.44589024195353,0.873324612595532
0,"CART","regEF",3,0.583927912251919,0.440865586915402,0.874531330904978
0,"CART","regEF",4,0.608330458117112,0.462511326459793,0.860221531972588
0,"CART","regEF",5,0.574993290711981,0.431176625539129,0.875096850141513
0,"CART","regEF",6,0.586528378553475,0.440239210343103,0.869744124809159
0,"CART","regEF",7,0.604369854742971,0.454578455209802,0.865350013356217
0,"CART","regEF",8,0.582775744571063,0.439988370355584,0.871284342327375
0,"CART","regEF",9,0.562584196245381,0.434165485508763,0.880870956020575
0,"CART","regEF",10,0.585476187688623,0.44491094798504,0.874980555438528
0,"CART","regEF",11,0.607907148526475,0.472108012962639,0.859506911457426
0,"CART","regEF",12,0.589678322308757,0.447745683690002,0.87014324031271
0,"CART","regEF",13,0.585869731453512,0.447510572184457,0.870384513352174
0,"CART","regEF",14,0.597790394982296,0.450507904343588,0.869152913453195
0,"CART","regEF",15,0.596638696243314,0.44886973176223,0.868282949374524
0,"CART","regEF",16,0.585891107536252,0.44046473844849,0.871441657132011
0,"CART","regEF",17,0.570979013259525,0.444580475286536,0.881210196884854
0,"CART","regEF",18,0.60203991554761,0.456757036166765,0.864119057939452
0,"CART","regEF",19,0.641404361305664,0.488084107670187,0.845306825897174
0,"CART","regEF",20,0.579367587366751,0.438936034295324,0.873305852024579
0,"CART","regEF",21,0.588354496057958,0.44805449272489,0.869228816715108
0,"CART","regEF",22,0.591767499367435,0.446397713408631,0.866536393612492
0,"CART","regEF",23,0.596062940697008,0.457544232048654,0.869669460044087
0,"CART","regEF",24,0.595036588126418,0.449929545337256,0.868102679384999
0,"CART","regEF",25,0.58530194835093,0.443649760942462,0.873546573834823
0,"RF","regEF",1,0.211591694467795,0.154070066235367,0.983366344564211
0,"RF","regEF",2,0.206733939649272,0.148133014479359,0.984094823757949
0,"RF","regEF",3,0.220827491628757,0.154293767313019,0.982055841398498
0,"RF","regEF",4,0.231097219018231,0.156882874730686,0.979827924172264
0,"RF","regEF",5,0.209455873610602,0.151749726322263,0.983425786713365
0,"RF","regEF",6,0.221134855536442,0.155197242228378,0.981484575838613
0,"RF","regEF",7,0.230074730308318,0.158559906038201,0.980486347369355
0,"RF","regEF",8,0.212691684878677,0.152368186999384,0.982855316687606
0,"RF","regEF",9,0.218795942692786,0.15795092404674,0.981981396491466
